media_name,o2,glucose,acetate,po_ratio,growth_rate,oxygen_flux,uptake,co2,organic_c,biomass,co2_norm,organic_c_norm,biomass_norm,cue,gge,bge
Glucose Only,0,10.0,0,"(1, 1)",0.0,,,,,,,,,,,
Glucose Only,0,10.0,0,"(2, 1)",0.0,,,,,,,,,,,
Glucose Only,0,10.0,0,"(3, 1)",0.0,,,,,,,,,,,
Glucose Only,0,10.0,0,"(4, 1)",0.0,,,,,,,,,,,
Glucose Only,0,10.0,0,"(5, 1)",0.0,,,,,,,,,,,
Glucose Only,5,10.0,0,"(1, 1)",0.43768585061098925,-5.0,60.0,18.016420040832035,23.234141741209566,18.749438217958403,0.30027366734720057,0.3872356956868261,0.3124906369659734,0.6997263326527994,0.31249063696597335,0.5099687347425258
Glucose Only,5,10.0,0,"(2, 1)",0.43768585061098925,-5.0,60.0,18.016420040832035,23.234141741209566,18.749438217958403,0.30027366734720057,0.3872356956868261,0.3124906369659734,0.6997263326527994,0.31249063696597335,0.5099687347425258
Glucose Only,5,10.0,0,"(3, 1)",0.43768585061098925,-5.0,60.0,18.016420040832035,23.234141741209566,18.749438217958403,0.30027366734720057,0.3872356956868261,0.3124906369659734,0.6997263326527994,0.31249063696597335,0.5099687347425258
Glucose Only,5,10.0,0,"(4, 1)",0.43768585061098925,-5.0,60.0,18.016420040832035,23.234141741209566,18.749438217958403,0.30027366734720057,0.3872356956868261,0.3124906369659734,0.6997263326527994,0.31249063696597335,0.5099687347425258
Glucose Only,5,10.0,0,"(5, 1)",0.43768585061098925,-5.0,60.0,18.016420040832035,23.234141741209566,18.749438217958403,0.30027366734720057,0.3872356956868261,0.3124906369659734,0.6997263326527994,0.31249063696597335,0.5099687347425258
Glucose Only,10,10.0,0,"(1, 1)",0.5191598401172781,-10.0,60.0,21.28354584924019,16.476860766587908,22.2395933841719,0.3547257641540032,0.27461434610979846,0.37065988973619834,0.6452742358459969,0.37065988973619823,0.5109832097565904
Glucose Only,10,10.0,0,"(2, 1)",0.5191598401172781,-10.0,60.0,21.28354584924019,16.476860766587908,22.2395933841719,0.3547257641540032,0.27461434610979846,0.37065988973619834,0.6452742358459969,0.37065988973619823,0.5109832097565904
Glucose Only,10,10.0,0,"(3, 1)",0.5191598401172781,-10.0,60.0,21.28354584924019,16.476860766587908,22.2395933841719,0.3547257641540032,0.27461434610979846,0.37065988973619834,0.6452742358459969,0.37065988973619823,0.5109832097565904
Glucose Only,10,10.0,0,"(4, 1)",0.5191598401172781,-10.0,60.0,21.28354584924019,16.476860766587908,22.2395933841719,0.3547257641540032,0.27461434610979846,0.37065988973619834,0.6452742358459969,0.37065988973619823,0.5109832097565904
Glucose Only,10,10.0,0,"(5, 1)",0.5191598401172781,-10.0,60.0,21.28354584924019,16.476860766587908,22.2395933841719,0.3547257641540032,0.27461434610979846,0.37065988973619834,0.6452742358459969,0.37065988973619823,0.5109832097565904
Glucose Only,20,10.0,0,"(1, 1)",0.6821078191331319,-20.0,60.0,27.817797466214163,2.9622988174701264,29.219903716315713,0.463629957770236,0.04937164695783544,0.48699839527192856,0.5363700422297639,0.48699839527192845,0.512291048035181
Glucose Only,20,10.0,0,"(2, 1)",0.6821078191331319,-20.0,60.0,27.817797466214163,2.9622988174701264,29.219903716315713,0.463629957770236,0.04937164695783544,0.48699839527192856,0.5363700422297639,0.48699839527192845,0.512291048035181
Glucose Only,20,10.0,0,"(3, 1)",0.6821078191331319,-20.0,60.0,27.817797466214163,2.9622988174701264,29.219903716315713,0.463629957770236,0.04937164695783544,0.48699839527192856,0.5363700422297639,0.48699839527192845,0.512291048035181
Glucose Only,20,10.0,0,"(4, 1)",0.6821078191331319,-20.0,60.0,27.817797466214163,2.9622988174701264,29.219903716315713,0.463629957770236,0.04937164695783544,0.48699839527192856,0.5363700422297639,0.48699839527192845,0.512291048035181
Glucose Only,20,10.0,0,"(5, 1)",0.6821078191331319,-20.0,60.0,27.817797466214163,2.9622988174701264,29.219903716315713,0.463629957770236,0.04937164695783544,0.48699839527192856,0.5363700422297639,0.48699839527192845,0.512291048035181
Glucose Only,30,10.0,0,"(1, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,30,10.0,0,"(2, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,30,10.0,0,"(3, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,30,10.0,0,"(4, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,30,10.0,0,"(5, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,1000,10.0,0,"(1, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
