,Experimental,FBA (O2=5),FBA (O2=10),FBA (O2=20),FBA (O2=30),FBA (O2=1000)
Acetate Only,0.38,0.3184903064416822,0.3184903064416822,0.3184903064416822,0.3184903064416822,0.3076285042588324
"Acetate 8mM, Glucose 4mM (Late)",0.56,0.5117252029758552,0.5130980389227906,0.4848812364474168,0.4669565441505425,0.4669565441505339
"Acetate 8mM, Glucose 4mM (Early)",0.74,0.5117252029758552,0.5130980389227906,0.4848812364474168,0.4669565441505425,0.4669565441505339
Glucose Only,0.76,0.5099687347425258,0.5109832097565904,0.512291048035181,0.5407936364033986,0.5407936364033986
"Glucose 8mM, Acetate 4mM",0.77,0.5105185868211157,0.5117249140183675,0.5130977454040162,0.503015022937439,0.5030150229374385
